Delivery_ID,Order_Date,Ship_Date,Ship_Mode,Destination_ID
316,2018-06-19,2018-06-21,Second Class,316
317,2018-09-12,2018-12-13,Standard Class,16
318,2015-11-24,2015-11-24,Same Day,68
319,2017-10-27,2017-01-11,Second Class,319
320,2017-12-25,2017-12-30,Standard Class,46
321,2017-02-04,2017-06-04,Second Class,204
323,2018-05-28,2018-05-30,Second Class,249
325,2018-01-30,2018-06-02,Standard Class,28
326,2017-11-18,2017-11-23,Second Class,326
327,2015-01-03,2015-05-03,Standard Class,327
328,2016-05-29,2016-05-31,First Class,68
329,2016-05-26,2016-05-28,Second Class,329
330,2017-07-18,2017-07-23,Standard Class,330
331,2017-10-31,2017-06-11,Standard Class,177
333,2017-08-15,2017-08-17,Second Class,79
334,2016-09-24,2016-09-28,Standard Class,334
335,2015-12-16,2015-12-20,Second Class,47
336,2015-09-19,2015-09-19,Same Day,76
337,2015-11-11,2015-11-18,Standard Class,5
338,2017-09-24,2017-09-28,Standard Class,26
339,2018-07-21,2018-07-25,Standard Class,295
340,2016-04-30,2016-05-05,Standard Class,158
341,2017-01-10,2017-02-10,First Class,2
342,2015-12-24,2015-12-29,Standard Class,22
343,2016-05-03,2016-05-03,Same Day,76
344,2018-12-25,2018-12-28,Second Class,344
345,2015-05-05,2015-08-05,First Class,329
346,2017-06-25,2017-06-27,Second Class,56
347,2017-09-16,2017-09-18,First Class,42
348,2015-11-02,2015-02-15,Second Class,348
349,2017-06-11,2017-10-11,Second Class,49
350,2018-06-07,2018-11-07,Standard Class,5
352,2017-12-14,2017-12-17,First Class,112
353,2018-05-28,2018-02-06,Second Class,0
354,2017-03-11,2017-06-11,First Class,166
356,2018-05-10,2018-10-10,Standard Class,356
357,2017-05-30,2017-04-06,Standard Class,11
358,2017-09-19,2017-09-19,Same Day,309
359,2015-07-21,2015-07-25,Standard Class,2
360,2017-08-26,2017-08-29,First Class,112
361,2018-11-13,2018-11-18,Standard Class,12
362,2017-07-11,2017-12-11,Standard Class,362
363,2017-09-18,2017-09-22,Standard Class,1
364,2018-09-20,2018-09-26,Standard Class,6
365,2016-01-12,2016-05-12,Second Class,98
366,2017-01-12,2017-05-12,Standard Class,366
367,2016-09-24,2016-09-30,Standard Class,3
368,2016-05-11,2016-09-11,Standard Class,13
369,2018-12-29,2019-01-01,Second Class,344
370,2015-01-03,2015-05-03,Standard Class,284
371,2018-09-05,2018-10-05,First Class,371
372,2017-08-02,2017-02-15,Standard Class,18
373,2016-12-22,2016-12-23,First Class,50
374,2015-06-28,2015-02-07,Standard Class,50
375,2018-11-06,2018-12-06,First Class,375
376,2017-11-24,2017-11-30,Standard Class,178
377,2017-09-18,2017-09-25,Standard Class,377
378,2018-12-24,2018-12-31,Standard Class,378
379,2015-04-29,2015-03-05,Standard Class,274
381,2016-04-10,2016-09-10,Second Class,381
382,2015-03-22,2015-03-26,Standard Class,382
383,2018-11-20,2018-11-24,Standard Class,383
384,2018-05-19,2018-05-24,Second Class,258
385,2018-05-13,2018-05-17,Standard Class,50
386,2016-06-29,2016-02-07,First Class,55
387,2015-11-18,2015-11-23,Standard Class,93
388,2018-06-26,2018-01-07,Standard Class,29
389,2017-12-04,2017-04-16,Standard Class,178
390,2016-01-11,2016-05-11,Standard Class,60
391,2017-02-16,2017-02-20,Standard Class,391
392,2018-10-10,2018-10-16,Standard Class,309
393,2016-09-25,2016-09-25,Same Day,393
394,2018-12-18,2018-12-24,Standard Class,60
395,2016-06-16,2016-06-20,Standard Class,395
397,2016-11-17,2016-11-21,Standard Class,1
398,2015-10-12,2015-12-14,Standard Class,398
399,2017-12-16,2017-12-23,Standard Class,102
400,2017-07-24,2017-07-26,Second Class,6
401,2015-11-24,2015-11-26,Second Class,401
402,2017-12-29,2018-02-01,Standard Class,204
403,2018-10-11,2018-11-17,Standard Class,5
405,2018-04-12,2018-04-12,Same Day,177
406,2015-12-07,2015-07-18,Standard Class,46
407,2015-11-14,2015-11-18,Standard Class,76
408,2015-08-20,2015-08-25,Standard Class,319
409,2018-09-10,2018-11-10,Second Class,409
410,2017-10-20,2017-10-25,Standard Class,235
411,2017-02-16,2017-02-20,Standard Class,55
412,2015-01-12,2015-03-12,First Class,126
413,2017-09-18,2017-09-23,Standard Class,413
415,2016-10-23,2016-10-27,Second Class,1
416,2018-02-12,2018-05-12,First Class,144
417,2015-12-16,2015-12-21,Standard Class,401
418,2018-11-25,2018-11-30,Second Class,344
419,2017-10-31,2017-05-11,Standard Class,54
420,2015-12-26,2015-12-28,First Class,100
421,2018-03-11,2018-07-11,Standard Class,98
422,2016-10-13,2016-10-17,Standard Class,344
423,2018-06-24,2018-06-26,Second Class,76
424,2016-04-21,2016-04-28,Standard Class,344
425,2016-11-14,2016-11-19,Standard Class,425
426,2017-05-26,2017-05-26,Same Day,39
427,2018-11-19,2018-11-26,Standard Class,427
428,2017-08-23,2017-08-30,Standard Class,98
429,2016-02-08,2016-05-08,Second Class,8
431,2015-11-23,2015-11-26,Second Class,163
432,2018-02-11,2018-07-11,Second Class,173
433,2018-05-15,2018-05-20,Standard Class,12
435,2015-11-16,2015-11-20,Standard Class,259
436,2018-08-17,2018-08-24,Standard Class,163
437,2016-04-26,2016-01-05,Standard Class,1
438,2017-04-15,2017-04-17,Second Class,28
439,2016-10-15,2016-10-15,Same Day,105
440,2015-07-20,2015-07-24,Standard Class,57
441,2017-05-27,2017-05-29,Second Class,441
442,2018-08-17,2018-08-22,Second Class,202
443,2018-01-05,2018-06-05,Standard Class,14
444,2016-01-27,2016-01-29,First Class,178
445,2015-12-09,2015-09-17,Second Class,6
446,2018-01-30,2018-04-02,Standard Class,234
447,2016-12-26,2016-12-31,Standard Class,56
448,2017-12-09,2017-09-17,Standard Class,448
449,2018-08-13,2018-08-18,Standard Class,274
450,2016-11-17,2016-11-24,Standard Class,167
451,2016-02-11,2016-04-11,First Class,76
452,2017-07-05,2017-11-05,Standard Class,60
453,2017-09-23,2017-09-28,Second Class,42
455,2018-07-15,2018-07-18,Second Class,55
456,2017-10-31,2017-05-11,Standard Class,456
457,2017-02-07,2017-07-07,Second Class,49
458,2017-08-26,2017-08-28,First Class,458
459,2015-12-07,2015-07-16,Standard Class,409
460,2018-11-25,2018-11-30,Standard Class,56
461,2018-12-10,2018-10-16,Standard Class,461
462,2017-04-28,2017-05-05,Standard Class,22
463,2015-04-29,2015-01-05,Second Class,463
464,2017-02-05,2017-08-05,Standard Class,464
465,2016-07-30,2016-01-08,First Class,465
466,2015-03-30,2015-01-04,First Class,71
467,2017-12-09,2017-09-13,Same Day,200
468,2018-07-08,2018-11-08,Standard Class,468
469,2018-11-09,2018-12-09,Same Day,469
470,2015-10-31,2015-02-11,Second Class,470
471,2016-05-31,2016-04-06,Standard Class,471
472,2015-10-05,2015-05-15,Standard Class,23
473,2017-09-26,2017-01-10,Standard Class,259
474,2015-01-20,2015-01-26,Standard Class,15
475,2017-07-18,2017-07-24,Standard Class,37
476,2018-08-31,2018-02-09,Second Class,476
477,2018-12-08,2018-12-08,Same Day,27
478,2017-12-25,2017-12-31,Standard Class,60
479,2016-08-21,2016-08-23,First Class,28
481,2017-09-07,2017-07-13,Standard Class,6
482,2018-12-22,2018-12-25,First Class,187
483,2017-11-14,2017-11-17,First Class,60
484,2015-05-08,2015-07-08,Second Class,484
486,2015-11-25,2015-11-29,Standard Class,49
488,2017-05-09,2017-07-09,Second Class,187
489,2015-07-18,2015-07-18,Same Day,382
490,2016-04-12,2016-10-12,Standard Class,490
491,2016-03-09,2016-08-09,Standard Class,28
492,2017-10-20,2017-10-24,Second Class,163
493,2018-09-14,2018-09-15,First Class,50
494,2018-08-10,2018-10-14,Standard Class,60
495,2015-03-25,2015-01-04,Standard Class,60
496,2018-12-24,2018-12-28,Standard Class,3
497,2015-12-14,2015-12-20,Standard Class,497
498,2015-05-13,2015-05-19,Standard Class,49
499,2016-10-25,2016-10-30,Standard Class,154
500,2015-05-16,2015-05-23,Standard Class,178
501,2015-04-11,2015-09-11,Standard Class,55
502,2017-07-25,2017-07-31,Standard Class,502
503,2018-10-09,2018-10-09,Same Day,49
504,2015-12-16,2015-12-17,First Class,26
505,2018-01-12,2018-05-12,Standard Class,395
506,2015-09-27,2015-01-10,Standard Class,112
507,2018-12-24,2018-12-28,Standard Class,507
508,2015-08-12,2015-10-12,Second Class,508
509,2015-04-18,2015-04-22,Standard Class,163
510,2018-04-20,2018-04-24,Standard Class,0
512,2016-07-12,2016-11-12,Standard Class,48
513,2016-11-27,2016-03-12,Standard Class,513
514,2018-06-27,2018-04-07,Standard Class,101
515,2017-05-09,2017-11-09,Standard Class,515
516,2017-09-18,2017-09-20,First Class,68
517,2018-05-19,2018-05-21,Second Class,54
518,2015-08-06,2015-12-06,Standard Class,518
519,2015-08-07,2015-10-07,First Class,75
520,2016-05-03,2016-07-03,Second Class,194
521,2016-08-05,2016-05-15,Standard Class,55
522,2018-07-18,2018-07-23,Standard Class,202
523,2018-12-22,2018-12-26,Standard Class,523
524,2017-11-28,2017-04-12,Standard Class,50
525,2017-01-12,2017-03-12,Second Class,525
526,2017-09-03,2017-12-03,First Class,526
527,2015-08-06,2015-06-14,Standard Class,46
528,2015-07-11,2015-12-11,Standard Class,56
529,2018-07-16,2018-07-18,Second Class,50
530,2015-03-10,2015-08-10,Second Class,178
531,2016-08-25,2016-08-30,Standard Class,22
532,2018-12-16,2018-12-21,Second Class,532
533,2016-09-02,2016-02-16,Standard Class,26
534,2015-10-10,2015-10-10,Same Day,534
535,2017-09-06,2017-06-14,Standard Class,54
536,2018-07-20,2018-07-25,Standard Class,60
537,2015-07-03,2015-12-03,Standard Class,12
538,2016-11-29,2016-04-12,Standard Class,187
539,2015-03-10,2015-08-10,Second Class,539
540,2018-12-29,2019-02-01,Standard Class,26
542,2017-03-14,2017-03-16,First Class,12
543,2015-07-07,2015-11-07,Standard Class,20
544,2015-10-13,2015-10-18,Second Class,135
545,2017-09-20,2017-09-25,Standard Class,464
547,2018-05-10,2018-09-10,Standard Class,6
548,2016-05-24,2016-05-26,Second Class,548
550,2016-11-20,2016-11-24,Standard Class,50
551,2017-04-18,2017-04-23,Standard Class,56
552,2015-09-26,2015-01-10,Second Class,26
553,2018-11-12,2018-12-17,Standard Class,20
554,2018-09-29,2018-02-10,First Class,122
555,2017-07-21,2017-07-26,Standard Class,555
556,2018-09-15,2018-09-19,Standard Class,2
557,2017-10-12,2017-12-15,Second Class,54
558,2017-03-12,2017-06-12,First Class,507
559,2018-11-14,2018-11-19,Standard Class,28
560,2017-06-25,2017-06-29,Standard Class,560
562,2015-04-23,2015-04-27,Standard Class,68
564,2017-03-29,2017-02-04,Second Class,0
565,2016-03-05,2016-07-05,Standard Class,50
566,2016-06-18,2016-06-20,First Class,566
567,2015-03-31,2015-03-31,Same Day,567
568,2016-04-18,2016-04-22,Standard Class,568
569,2018-10-30,2018-05-11,Standard Class,2
570,2018-09-25,2018-09-29,Standard Class,570
571,2018-09-11,2018-11-11,First Class,571
572,2017-07-07,2017-09-07,Second Class,22
574,2017-02-09,2017-05-09,Second Class,574
575,2018-02-09,2018-02-09,Same Day,12
576,2016-06-26,2016-06-30,Standard Class,576
577,2017-03-10,2017-08-10,Standard Class,6
578,2017-09-24,2017-01-10,Standard Class,68
579,2018-11-09,2018-11-09,Same Day,98
580,2018-01-01,2018-05-01,Standard Class,17
581,2016-07-26,2016-07-31,Standard Class,581
582,2016-12-11,2016-11-19,Standard Class,582
583,2018-09-26,2018-09-30,Standard Class,583
584,2017-11-12,2017-11-12,Same Day,68
586,2015-04-10,2015-06-10,First Class,55
587,2018-05-14,2018-05-17,First Class,127
588,2016-03-30,2016-03-04,Standard Class,588
589,2017-02-05,2017-06-05,Standard Class,105
590,2018-09-14,2018-09-16,First Class,6
591,2017-08-30,2017-01-09,First Class,177
592,2018-10-11,2018-11-11,First Class,382
593,2016-07-16,2016-07-16,Same Day,2
594,2016-11-06,2016-12-06,First Class,594
595,2015-07-26,2015-02-08,Standard Class,595
596,2018-06-11,2018-11-13,Standard Class,98
597,2018-10-21,2018-10-26,Standard Class,594
598,2015-06-15,2015-06-21,Standard Class,329
599,2015-11-07,2015-07-15,Standard Class,599
600,2018-02-09,2018-06-09,Standard Class,60
601,2015-03-14,2015-03-19,Standard Class,601
602,2017-10-12,2017-10-12,Same Day,602
603,2016-08-21,2016-08-25,Standard Class,173
604,2018-01-12,2018-05-12,Standard Class,50
605,2015-11-11,2015-11-15,Standard Class,0
606,2018-01-20,2018-01-23,Second Class,55
607,2016-03-23,2016-03-29,Standard Class,163
608,2017-10-18,2017-10-22,Standard Class,608
609,2016-05-01,2016-10-01,Standard Class,12
610,2018-09-15,2018-09-21,Standard Class,26
611,2018-03-24,2018-03-27,First Class,6
612,2018-08-12,2018-12-15,Standard Class,50
613,2016-01-03,2016-03-03,Second Class,22
614,2017-09-23,2017-09-27,Standard Class,46
615,2015-05-21,2015-05-23,Second Class,56
616,2016-04-12,2016-09-12,Second Class,6
617,2018-08-05,2018-12-05,Standard Class,50
618,2017-12-26,2017-12-31,Standard Class,49
619,2016-02-11,2016-07-11,Standard Class,619
620,2018-08-09,2018-11-09,First Class,620
621,2017-06-28,2017-06-30,Second Class,621
622,2016-04-25,2016-04-29,Standard Class,309
623,2016-05-12,2016-09-12,Second Class,60
